,Tipo,Alto,Normal,Baixo,Mínimo
08/2018,Tipo5,,1373.76,972.74,846.94
08/2018,Tipo6,,1174.12,901.72,797.78
08/2018,Tipo7,,1007.21,780.88,689.8
09/2018,Tipo1,,1131.66,804.05,695.53
09/2018,Tipo2,,1273.49,903.92,782.76
09/2018,Tipo3,,1264.3,920.73,808.96
09/2018,Tipo4,1241.25,1072.9,758.69,
09/2018,Tipo5,,1372.05,976.21,851.79
09/2018,Tipo6,,1174.1,904.01,800.43
09/2018,Tipo7,,1005.29,781.91,691.98
10/2018,Tipo1,,1129.7,806,695.36
10/2018,Tipo2,,1271.12,905.96,782.64
10/2018,Tipo3,,1263.38,923.67,809.85
10/2018,Tipo4,1243.84,1070.93,760.53,
10/2018,Tipo5,,1370.36,978.96,852.39
10/2018,Tipo6,,1174.14,906.57,801.18
10/2018,Tipo7,,1005.42,784.46,692.65
11/2018,Tipo1,,1130.67,804.54,693.3
11/2018,Tipo2,,1272.75,904.53,780.72
11/2018,Tipo3,,1263.82,921.75,807.44
11/2018,Tipo4,1242.23,1072.21,759.41,
11/2018,Tipo5,,1371.07,976.82,849.77
11/2018,Tipo6,,1174.97,905.32,799.6
11/2018,Tipo7,,1007.37,784.17,691.85
12/2018,Tipo1,,1135.12,808.03,696.09
12/2018,Tipo2,,1277.33,908.24,783.72
12/2018,Tipo3,,1268.9,925.72,810.88
12/2018,Tipo4,1246.06,1075.92,762.21,
12/2018,Tipo5,,1376.1,981.04,853.22
12/2018,Tipo6,,1177.81,907.79,801.42
12/2018,Tipo7,,1009.98,786.58,693.68
01/2019,Tipo1,,1143.06,809.05,699.05
01/2019,Tipo2,,1286.46,909.44,786.75
01/2019,Tipo3,,1276.99,926.52,813.4
01/2019,Tipo4,1255.32,1083.62,763.26,
01/2019,Tipo5,,1385.61,982.41,856.37
01/2019,Tipo6,,1185.88,909.38,804.3
01/2019,Tipo7,,1014.89,786.36,695.11
02/2019,Tipo1,,1149.69,812.26,700.92
02/2019,Tipo2,,1292.96,912.43,788.69
02/2019,Tipo3,,1281.7,928.88,815.08
02/2019,Tipo4,1258,1087.82,765.77,
02/2019,Tipo5,,1391.62,984.86,858.41
02/2019,Tipo6,,1190.59,912.66,806.01
02/2019,Tipo7,,1017.96,789.07,697.03
03/2019,Tipo1,,1151.59,817.73,705.53
03/2019,Tipo2,,1295.56,918.84,794.1
03/2019,Tipo3,,1285.1,935.66,820.65
03/2019,Tipo4,1265.23,1090.91,771.53,
03/2019,Tipo5,,1394.62,991.75,864.05
03/2019,Tipo6,,1194.67,919.12,811.89
03/2019,Tipo7,,1022.36,795.08,702.06
04/2019,Tipo1,,1145.71,814.57,705.1
04/2019,Tipo2,,1289.88,915.84,793.8
04/2019,Tipo3,,1279.02,932.54,820.22
04/2019,Tipo4,1262.86,1084.85,768.23,
04/2019,Tipo5,,1389.16,989.02,864.09
04/2019,Tipo6,,1190.69,915.7,811.18
04/2019,Tipo7,,1018.39,792.26,701.81
05/2019,Tipo1,,1144.44,809.48,703.58
05/2019,Tipo2,,1289.03,910.42,792
05/2019,Tipo3,,1276.55,926.69,817.79
05/2019,Tipo4,1265.4,1083.24,763.2,
05/2019,Tipo5,,1388.77,983.62,862.25
05/2019,Tipo6,,1187.84,911.69,809.94
05/2019,Tipo7,,1017.29,788.2,700.71
06/2019,Tipo1,,1148.52,814.5,706.69
06/2019,Tipo2,,1294.19,916.32,795.7
06/2019,Tipo3,,1281.22,932,821.25
06/2019,Tipo4,1275.3,1087.47,767.79,
06/2019,Tipo5,,1393.32,989.36,865.85
06/2019,Tipo6,,1194.53,918.72,815.51
06/2019,Tipo7,,1024.23,794.83,706.03
07/2019,Tipo1,,1150.12,816.16,707.79
07/2019,Tipo2,,1295.94,918.13,796.87
07/2019,Tipo3,,1282.71,933.68,822.33
07/2019,Tipo4,1276.54,1088.56,768.98,
07/2019,Tipo5,,1395.74,991.77,867.42
07/2019,Tipo6,,1194.73,919.01,815.44
07/2019,Tipo7,,1023.91,794.56,705.33
08/2019,Tipo1,,1176.11,835.78,725.48
08/2019,Tipo2,,1325.61,940.45,816.97
08/2019,Tipo3,,1313.41,957.88,844.32
08/2019,Tipo4,1301.29,1113.16,788.12,
08/2019,Tipo5,,1427.41,1015.54,889.18
08/2019,Tipo6,,1223.56,942.39,836.27
08/2019,Tipo7,,1048.46,814.73,723.82
09/2019,Tipo1,,1180.37,838.67,728.01
09/2019,Tipo2,,1330.28,943.61,819.73
